Year,Month,Day,Hour,Host,Latency(ms),TTL
2019,3,7,15,ILMOCOP3CT08-16,79,123
2019,3,7,15,ILMOCOP3CT08-16,85,123
2019,3,7,15,ILMOCOP3CT08-16,68,123
2019,3,7,15,ILMOCOP3CT08-16,71,123
2019,3,7,15,ILMOCOP3CT08-16,129,123
2019,3,7,15,ILMOCOP3CT08-16,134,123
2019,3,7,15,ILMOCOP3CT08-16,93,123
2019,3,7,15,ILMOCOP3CT08-16,133,123
2019,3,7,15,ILMOCOP3CT08-16,131,123
2019,3,7,15,ILMOCOP3CT08-16,145,123
2019,3,7,15,ILMOCOP3CT08-17,151,123
2019,3,7,15,ILMOCOP3CT08-17,104,123
2019,3,7,15,ILMOCOP3CT08-17,224,123
2019,3,7,15,ILMOCOP3CT08-17,106,123
2019,3,7,15,ILMOCOP3CT08-17,87,123
2019,3,7,15,ILMOCOP3CT08-17,50,123
2019,3,7,15,ILMOCOP3CT08-17,90,123
2019,3,7,15,ILMOCOP3CT08-17,127,123
2019,3,7,15,ILMOCOP3CT08-17,67,123
2019,3,7,15,ILMOCOP3CT08-18,92,123
2019,3,7,15,ILMOCOP3CT08-18,89,123
2019,3,7,15,ILMOCOP3CT08-18,66,123
2019,3,7,15,ILMOCOP3CT08-18,123,123
2019,3,7,15,ILMOCOP3CT08-18,100,123
2019,3,7,15,ILMOCOP3CT08-18,84,123
2019,3,7,15,ILMOCOP3CT08-18,69,123
2019,3,7,15,ILMOCOP3CT08-18,109,123
2019,3,7,15,ILMOCOP3CT08-18,47,123
2019,3,7,15,ILMOCOP3CT08-18,78,123
2019,3,7,15,ILMOCOP3CT08-19,69,123
2019,3,7,15,ILMOCOP3CT08-19,82,123
2019,3,7,15,ILMOCOP3CT08-19,92,123
2019,3,7,15,ILMOCOP3CT08-19,96,123
2019,3,7,15,ILMOCOP3CT08-19,28,123
2019,3,7,15,ILMOCOP3CT08-19,67,123
2019,3,7,15,ILMOCOP3CT08-19,89,123
2019,3,7,15,ILMOCOP3CT08-19,117,123
2019,3,7,15,ILMOCOP3CT08-19,65,123
2019,3,7,15,ILMOCOP3CT08-19,60,123
2019,3,7,15,ILMOCOP3CT08-20,92,123
2019,3,7,15,ILMOCOP3CT08-20,139,123
2019,3,7,15,ILMOCOP3CT08-20,97,123
2019,3,7,15,ILMOCOP3CT08-20,90,123
2019,3,7,15,ILMOCOP3CT08-20,76,123
2019,3,7,15,ILMOCOP3CT08-20,77,123
2019,3,7,15,ILMOCOP3CT08-20,92,123
2019,3,7,15,ILMOCOP3CT08-20,98,123
2019,3,7,15,ILMOCOP3CT08-20,46,123
2019,3,12,8,ILMOCOP3CT08-16,100,123
2019,3,12,8,ILMOCOP3CT08-16,108,123
2019,3,12,8,ILMOCOP3CT08-16,53,123
2019,3,12,8,ILMOCOP3CT08-16,73,123
2019,3,12,8,ILMOCOP3CT08-16,92,123
2019,3,12,8,ILMOCOP3CT08-16,81,123
2019,3,12,8,ILMOCOP3CT08-16,118,123
2019,3,12,8,ILMOCOP3CT08-16,101,123
2019,3,12,8,ILMOCOP3CT08-16,90,123
2019,3,12,8,ILMOCOP3CT08-16,119,123
2019,3,12,8,ILMOCOP3CT08-17,98,123
2019,3,12,8,ILMOCOP3CT08-17,84,123
2019,3,12,8,ILMOCOP3CT08-17,72,123
2019,3,12,8,ILMOCOP3CT08-17,100,123
